New ward code,Ward,Borough,CHO,CIP,HFP,OWH,HAO,CER,PTA
E09000001,City of London,City of London,22.22,17.5,6.51347896,17.14,-6.478752314,1.83891674,7.723401061
E05000026,Abbey,Barking and Dagenham,21.70087977,40.3,16.24065873,37.71,-0.88953823,18.07215637,5.98735589
E05000027,Alibon,Barking and Dagenham,25.97402597,38.8,18.89803209,40,-1.790968136,12.51686176,3.275530044
E05000028,Becontree,Barking and Dagenham,22.44897959,37.9,17.27037619,37.59,-5.469666137,14.90225367,2.848544132
E05000029,Chadwell Heath,Barking and Dagenham,23.79518072,39,16.83238701,39.66,1.977718294,13.54340802,2.27230196
E05000030,Eastbrook,Barking and Dagenham,23.11320755,26,14.64241441,27.04,5.687552307,9.370254164,2.308725581
E05000031,Eastbury,Barking and Dagenham,22.83813747,36.4,17.22027566,37.89,-8.237511952,12.57641502,2.870088373
E05000032,Gascoigne,Barking and Dagenham,22.3255814,46.9,18.05300833,46.34,-10.01255114,11.85935221,4.03245566
E05000033,Goresbrook,Barking and Dagenham,25.12690355,36.6,17.81695705,37.44,4.827420368,12.44816056,2.557064333
E05000034,Heath,Barking and Dagenham,25.67901235,41.8,17.70897023,42.38,0.440582705,9.606602896,2.566295169
E05000035,Longbridge,Barking and Dagenham,24.40318302,20.4,14.26716993,18.17,-2.189863473,9.643122628,3.137026236
E05000036,Mayesbrook,Barking and Dagenham,21.91780822,39.1,18.41513906,39.7,2.425642336,13.48023205,2.619647047
E05000037,Parsloes,Barking and Dagenham,24.85207101,35.9,18.35618571,36.89,-1.711715661,11.2427019,2.72199895
E05000038,River,Barking and Dagenham,24.66487936,34.1,17.62828979,34.26,2.922809818,8.197060967,3.036806235
E05000039,Thames,Barking and Dagenham,23.32439678,40.2,16.11008883,39.45,-6.327715908,11.54147281,2.379433905
E05000040,Valence,Barking and Dagenham,23.1884058,33.8,18.53015213,35.29,-2.382206911,9.853966053,3.178772197
E05000041,Village,Barking and Dagenham,25.07042254,38.8,15.62966227,39.66,7.870083432,16.82229797,2.810756104
E05000042,Whalebone,Barking and Dagenham,25.74850299,30.3,15.04067295,30.13,-15.17247011,12.5352981,2.866389931
E05000043,Brunswick Park,Barnet,19.07131012,19.6,14.05205019,19.82,0.808435447,6.584364347,2.810001835
E05000044,Burnt Oak,Barnet,23.06610408,39.5,14.30001309,36.94,-7.409572009,9.246920593,3.593481852
E05000045,Childs Hill,Barnet,26.9005848,24.7,11.98821527,21.81,-1.012769666,12.55505008,4.481786135
E05000046,Colindale,Barnet,20.71005917,42.3,13.13965487,39.34,-6.354378605,5.986484255,2.521937105
E05000047,Coppetts,Barnet,15.7079646,24.6,11.78325421,23.09,-2.035281296,10.87768135,2.836133051
E05000048,East Barnet,Barnet,17.74193548,20.4,12.3485664,20.62,4.266490434,8.118936528,2.394330371
E05000049,East Finchley,Barnet,12.84153005,24.5,9.243836945,24.92,-3.449976679,7.991096874,2.577545751
E05000050,Edgware,Barnet,21.61016949,25,14.26235335,23.45,-3.772829669,9.308372951,2.870869083
E05000051,Finchley Church End,Barnet,16.60777385,11.6,10.25980115,11.8,-13.33798738,6.309066828,2.899893077
E05000052,Garden Suburb,Barnet,6.565656566,6.8,9.408388412,6.83,1.412517133,7.657960051,2.655346509
E05000053,Golders Green,Barnet,16.77018634,19.5,11.8127221,16.25,-8.931457973,7.593649188,3.41317788
E05000054,Hale,Barnet,21.27272727,23.1,13.3859302,21.95,-5.144116847,7.327982018,2.510213463
E05000055,Hendon,Barnet,18.78172589,19.6,11.22553835,17.15,-7.332392178,8.426887753,2.599918038
E05000056,High Barnet,Barnet,17.24137931,11.5,11.41054283,12.32,3.757861289,7.957659999,2.785438412
E05000057,Mill Hill,Barnet,19.04761905,23.9,12.45332601,21.95,3.683404576,7.302670958,2.220794892
E05000058,Oakleigh,Barnet,15.97938144,20.3,12.06245698,19.91,-7.785864637,6.516909531,3.189422625
E05000059,Totteridge,Barnet,12.99435028,12.8,10.85227055,12.95,8.001117875,5.644518724,2.68645904
E05000060,Underhill,Barnet,16.31799163,27.7,12.93615029,26.87,4.523608795,7.749390654,2.635826685
E05000061,West Finchley,Barnet,12.34177215,15.7,10.22880867,16,-16.06378447,7.092793045,3.778123296
E05000062,West Hendon,Barnet,19.71496437,21.7,13.25741861,18.9,-0.177458927,13.32589404,3.544488687
E05000063,Woodhouse,Barnet,17.17391304,24.2,12.49391392,22.81,-11.51868137,9.787090593,2.830494798
E05000064,Barnehurst,Bexley,20.3030303,16.7,14.56653416,18.52,-1.74210405,6.917550637,2.97089892
E05000065,Belvedere,Bexley,19.42446043,27.6,13.09410342,27.73,4.518671778,10.84888853,2.361196513
E05000066,Blackfen and Lamorbey,Bexley,19.03323263,10.3,15.26040133,11.76,-5.00590794,6.016870721,2.082982489
E05000067,Blendon and Penhill,Bexley,19.06354515,9.6,15.56747313,9.65,1.076187182,6.628414574,2.045428463
E05000068,Brampton,Bexley,19.57186544,10.5,17.38153107,11.83,-8.517365671,6.204890963,2.542040131
E05000069,Christchurch,Bexley,21.67182663,14.7,14.53218196,15.8,-2.884859304,10.55995755,3.41201246
E05000070,Colyers,Bexley,21.46596859,27.8,14.92296645,28.78,-11.95607014,10.40392564,1.927891392
E05000071,Crayford,Bexley,22,22.6,13.02345534,23.44,-2.911922188,6.307715204,2.032501176
E05000072,Cray Meadows,Bexley,24.42528736,24.9,15.15294249,25.91,10.59440718,5.419176939,1.779318789
E05000073,Danson Park,Bexley,18.52941176,14.1,15.6462446,14.73,5.900968095,7.242110132,2.903828371
E05000074,East Wickham,Bexley,22.89855072,19.5,15.19499876,21,-2.353300999,8.315437284,2.795359053
E05000075,Erith,Bexley,25.06666667,27.6,12.86121424,29.17,6.928454402,10.33538563,2.446194574
E05000076,Falconwood and Welling,Bexley,17.46478873,10.6,15.9053163,11.16,-9.439389892,7.892859404,2.584296173
E05000077,Lesnes Abbey,Bexley,23.74301676,23.2,14.70501934,24.72,4.837080769,9.429453995,2.761009444
E05000078,Longlands,Bexley,18.25095057,10.7,12.93618321,12.27,2.796154203,4.869566265,2.567850309
E05000079,North End,Bexley,25.51440329,36.3,12.85046448,37.98,14.84644969,11.9871936,2.34490652
E05000080,Northumberland Heath,Bexley,19.30294906,17.1,16.09312519,17.76,-5.899183884,9.256995465,2.09706319
E05000081,St Mary's,Bexley,17.75362319,7.1,14.36608784,8.12,6.05503875,5.900210196,2.624933598
E05000082,St Michael's,Bexley,19.15367483,13.1,16.73371964,14.23,-8.585039384,5.870702486,2.014051363
E05000083,Sidcup,Bexley,15.56420233,9,13.41621887,9.93,3.819598392,5.879237889,2.939373417
E05000084,Thamesmead East,Bexley,26.9058296,30.7,8.041856011,31.75,9.906060699,9.099262488,2.515295256
E05000085,Alperton,Brent,18.5,23.8,14.43151009,22.46,-7.936855544,8.374216886,2.913025362
E05000086,Barnhill,Brent,27.80269058,33.2,13.03300978,30.84,6.82122412,9.40462696,2.841349559
E05000087,Brondesbury Park,Brent,18.06722689,24.6,12.84877248,23.09,-14.65891136,10.2167377,3.942030759
E05000088,Dollis Hill,Brent,20.82429501,37.3,14.54004801,35.23,0.071874676,7.15706921,2.732069675
E05000089,Dudden Hill,Brent,22.91666667,37.7,13.74629618,35.7,-4.034037055,12.87195032,3.377409149
E05000090,Fryent,Brent,18.57506361,26.4,14.78745665,23.73,8.881106977,8.121071524,2.746248495
E05000091,Harlesden,Brent,26.51245552,43.2,17.22959001,43,-14.05048183,14.63531505,3.715862572
E05000092,Kensal Green,Brent,24.20212766,31.1,16.43715226,30.03,-3.67599863,12.60160245,3.925586243
E05000093,Kenton,Brent,15.06849315,16.9,13.15227534,15.32,-2.233368149,7.978087513,2.582496995
E05000094,Kilburn,Brent,24.82269504,39.6,16.62856629,38.19,-13.44802832,14.15946698,5.374103351
E05000095,Mapesbury,Brent,24.16356877,29.9,13.76267869,28.44,-10.16667849,11.52922408,4.547420824
E05000096,Northwick Park,Brent,18.97106109,18.8,12.84428987,18.74,-1.11408103,6.120595982,2.71895078
E05000097,Preston,Brent,21.46118721,30.5,13.02560038,27.98,0.286284698,8.433546985,2.906085667
E05000098,Queens Park,Brent,18.93939394,21.5,13.88729173,21.17,-5.056739358,12.55748482,4.976652028
E05000099,Queensbury,Brent,23.28159645,28,15.54996296,24.68,-0.768745907,10.01462831,2.972318951
E05000100,Stonebridge,Brent,28.18428184,48.2,14.66703951,47.18,-12.11612122,9.293584165,2.88804831
E05000101,Sudbury,Brent,23.00469484,25.7,13.3779577,23.87,4.41006466,8.731318193,3.259943204
E05000102,Tokyngton,Brent,23.23232323,29.4,15.33790595,26.06,-6.265441184,9.0653763,3.03520134
E05000103,Welsh Harp,Brent,27.0718232,34,14.42443093,30.96,8.566763874,9.64421359,2.742916312
E05000104,Wembley Central,Brent,20.77922078,24.9,15.24293294,24.67,-6.634043297,13.91248147,4.677769386
E05000105,Willesden Green,Brent,23.17380353,38.1,16.01965516,37.02,-0.208391279,12.88301207,4.376776734
E05000106,Bickley,Bromley,13.88888889,8.4,11.9519327,9.55,-8.429818804,6.331547145,2.258632032
E05000107,Biggin Hill,Bromley,13.51351351,10.2,12.13793763,11.75,-1.426749107,8.142508967,1.697312966
E05000108,Bromley Common and Keston,Bromley,15.16966068,18.5,14.69026787,18.36,11.91173436,6.930925182,2.280385909
E05000109,Bromley Town,Bromley,18.55345912,13.3,11.66789077,14.37,-1.230634077,10.23840373,3.758840912
E05000110,Chelsfield and Pratts Bottom,Bromley,15.87677725,7.6,13.49183435,8.17,10.08252029,5.213358612,1.945386924
E05000111,Chislehurst,Bromley,15.86715867,10.1,13.10681849,10.69,6.828480037,8.575670867,2.153940299
E05000112,Clock House,Bromley,18.73015873,13.6,12.18470852,13.91,-2.898896666,8.543492298,3.922408183
E05000113,Copers Cope,Bromley,11.91709845,18.1,8.899856396,18.35,-4.958985881,9.978369147,3.037248717
E05000114,Cray Valley East,Bromley,22.34042553,34.9,12.8554601,35.84,11.54382476,12.95927477,2.29564485
E05000115,Cray Valley West,Bromley,21.29783694,31.6,13.82313208,32.89,-0.777249662,12.65272279,2.252222023
E05000116,Crystal Palace,Bromley,21.81818182,38.3,12.52704898,38.02,11.58964103,16.30774402,4.362508065
E05000117,Darwin,Bromley,17.82945736,12.3,19.22003172,14.72,7.184143062,7.07702818,1.250346429
E05000118,Farnborough and Crofton,Bromley,13.81443299,9.8,12.45518955,11.16,3.660258488,4.839422874,2.243261622
E05000119,Hayes and Coney Hall,Bromley,10.73345259,6.5,15.19969877,7.37,13.75123885,5.564194305,2.280930172
E05000120,Kelsey and Eden Park,Bromley,14.83739837,9.4,12.77992665,10.53,4.625938977,7.830549277,2.635300876
E05000121,Mottingham and Chislehurst North,Bromley,19.64285714,34.8,14.27968702,36.02,5.47739564,14.50254113,2.589547434
E05000122,Orpington,Bromley,17.36972705,22.4,13.84860833,23.2,-5.480513495,11.63845759,2.728774699
E05000123,Penge and Cator,Bromley,20.45929019,30.2,12.90135371,31.19,4.051644317,12.3454866,3.93998122
E05000124,Petts Wood and Knoll,Bromley,12.64705882,5.8,14.40760897,7.68,-0.438912212,5.287679156,2.261942513
E05000125,Plaistow and Sundridge,Bromley,16.93121693,21.3,12.51102143,22.17,0.345243489,10.38215222,2.826643831
E05000126,Shortlands,Bromley,14.82889734,7.2,11.14876816,7.56,-6.277853911,5.247033944,2.481576471
E05000127,West Wickham,Bromley,14.01515152,5,14.3547068,5.52,-1.8558816,5.712206355,2.160370894
E05000128,Belsize,Camden,22.22222222,26.1,10.50875477,24.64,-5.238115844,8.266073011,4.121190397
E05000129,Bloomsbury,Camden,22.22222222,32.2,13.03714541,29.01,0.890361769,6.837810201,7.899831328
E05000130,Camden Town with Primrose Hill,Camden,17.41293532,36.9,12.90443176,36.08,2.075237263,23.50963011,6.089864116
E05000131,Cantelowes,Camden,21.23552124,41.8,17.21612471,41.2,-2.026557947,14.0897414,4.880768618
E05000132,Fortune Green,Camden,23.42857143,30,11.34830371,29.41,1.185127617,11.08976882,4.509741011
E05000133,Frognal and Fitzjohns,Camden,10.71428571,10.8,8.981976221,10.67,-6.955857092,6.845060701,4.334172163
E05000134,Gospel Oak,Camden,20.33898305,41.8,14.41766153,39.67,-1.925255348,9.589630171,4.01820773
E05000135,Hampstead Town,Camden,18.27956989,9.2,8.121680548,10.12,8.866181121,7.414438613,4.13857841
E05000136,Haverstock,Camden,24.92917847,49.6,14.87345839,46.17,-7.44415816,14.3603065,5.016562214
E05000137,Highgate,Camden,17.28971963,30,13.46592543,28.41,15.82331833,10.9048512,3.876600431
E05000138,Holborn and Covent Garden,Camden,17.3553719,42.1,14.5973538,37.92,-9.435843626,5.517458504,7.85318501
E05000139,Kentish Town,Camden,26.94805195,39.6,16.16869055,39.09,-0.872752891,10.35575738,5.461907528
E05000140,Kilburn,Camden,24.43609023,49.2,14.21555958,46.31,-5.363823893,15.29891835,5.739685345
